task,model,metric_name,metric,higher_is_better,last_train_loss,train_seconds,parameters,label,channels,num_res_units
sphere_segmentation,adm_unet,dice,0.9316792115569115,True,0.024455154314637184,7.687670774757862,122489,adm_unet_c8_16_ru1,"8,16",1
sphere_segmentation,monai_unet,dice,0.7006792202591896,True,0.24006235599517822,1.0705080442130566,121759,monai_unet_c8_16_32_64_ru0,"8,16,32,64",0
sphere_segmentation,monai_unet,dice,0.14057892374694347,True,0.6279395222663879,2.697030725888908,122105,monai_unet_c12_24_24_ru3,"12,24,24",3
sphere_segmentation,monai_unet,dice,0.6303092129528522,True,0.6060250997543335,1.135893773753196,123009,monai_unet_c25_50_ru2,"25,50",2
sphere_segmentation,monai_unet,dice,0.931300163269043,True,0.017379363998770714,0.5100756329484284,122249,monai_unet_c38_114_ru0,"38,114",0
bias_field_denoising,adm_unet,mse,0.0033364786359015852,False,0.002514488296583295,5.753258547745645,122489,adm_unet_c8_16_ru1,"8,16",1
bias_field_denoising,monai_unet,mse,0.021430309861898422,False,0.022807355970144272,1.3919927501119673,121759,monai_unet_c8_16_32_64_ru0,"8,16,32,64",0
bias_field_denoising,monai_unet,mse,0.030028603738173842,False,0.02588353306055069,2.808982264716178,122105,monai_unet_c12_24_24_ru3,"12,24,24",3
bias_field_denoising,monai_unet,mse,0.01343079749494791,False,0.014044110663235188,1.333592765033245,123009,monai_unet_c25_50_ru2,"25,50",2
bias_field_denoising,monai_unet,mse,0.07993514835834503,False,0.08648868650197983,0.49471827782690525,122249,monai_unet_c38_114_ru0,"38,114",0
contrast_translation,adm_unet,mse,0.003231731039704755,False,0.003430368611589074,4.806665646843612,122489,adm_unet_c8_16_ru1,"8,16",1
contrast_translation,monai_unet,mse,0.015843470464460552,False,0.01821075938642025,1.549927779007703,121759,monai_unet_c8_16_32_64_ru0,"8,16,32,64",0
contrast_translation,monai_unet,mse,0.024398407666012645,False,0.02638738602399826,2.980620699003339,122105,monai_unet_c12_24_24_ru3,"12,24,24",3
contrast_translation,monai_unet,mse,0.008366470923647285,False,0.008881657384335995,1.338484935928136,123009,monai_unet_c25_50_ru2,"25,50",2
contrast_translation,monai_unet,mse,0.06367321545258164,False,0.06786094605922699,0.5255323080345988,122249,monai_unet_c38_114_ru0,"38,114",0
